Song Performer ID,Performer ID
1,1
1,2
63,2
2,3
14,3
17,3
27,3
45,3
48,3
49,3
53,3
54,3
64,3
67,3
76,3
77,3
78,3
83,3
85,3
90,3
97,3
99,3
110,3
115,3
125,3
140,3
143,3
152,3
154,3
157,3
161,3
172,3
176,3
180,3
181,3
184,3
185,3
187,3
190,3
195,3
199,3
208,3
210,3
211,3
213,3
214,3
222,3
226,3
227,3
231,3
234,3
236,3
245,3
249,3
250,3
280,3
289,3
311,3
343,3
358,3
365,3
407,3
410,3
420,3
423,3
425,3
428,3
429,3
432,3
450,3
454,3
456,3
458,3
471,3
473,3
3,4
20,4
33,4
45,4
47,4
49,4
56,4
61,4
81,4
83,4
86,4
101,4
119,4
123,4
133,4
141,4
152,4
173,4
177,4
183,4
184,4
185,4
196,4
199,4
207,4
211,4
225,4
227,4
231,4
232,4
234,4
237,4
249,4
250,4
252,4
272,4
275,4
276,4
285,4
292,4
299,4
312,4
313,4
330,4
340,4
344,4
353,4
359,4
364,4
365,4
370,4
376,4
383,4
386,4
388,4
392,4
398,4
399,4
407,4
415,4
421,4
426,4
428,4
432,4
444,4
452,4
454,4
461,4
472,4
473,4
4,5
17,5
20,5
27,5
38,5
49,5
75,5
77,5
79,5
99,5
100,5
112,5
125,5
126,5
133,5
139,5
141,5
147,5
152,5
154,5
164,5
169,5
172,5
174,5
177,5
186,5
190,5
206,5
225,5
232,5
233,5
234,5
236,5
239,5
244,5
245,5
246,5
250,5
251,5
257,5
266,5
267,5
282,5
283,5
296,5
303,5
307,5
344,5
346,5
350,5
363,5
365,5
369,5
370,5
385,5
387,5
389,5
390,5
393,5
394,5
396,5
399,5
403,5
405,5
412,5
414,5
421,5
443,5
444,5
473,5
5,6
9,6
17,6
22,6
33,6
34,6
36,6
40,6
41,6
44,6
51,6
52,6
55,6
59,6
67,6
69,6
75,6
76,6
81,6
83,6
92,6
103,6
108,6
110,6
113,6
114,6
122,6
126,6
127,6
129,6
135,6
136,6
143,6
147,6
148,6
152,6
162,6
163,6
165,6
172,6
180,6
182,6
184,6
185,6
190,6
191,6
196,6
198,6
199,6
209,6
211,6
213,6
223,6
225,6
227,6
237,6
244,6
246,6
248,6
249,6
250,6
262,6
269,6
272,6
273,6
275,6
276,6
285,6
292,6
295,6
306,6
313,6
320,6
329,6
330,6
333,6
336,6
340,6
356,6
358,6
359,6
364,6
370,6
371,6
376,6
383,6
386,6
388,6
395,6
397,6
399,6
407,6
414,6
415,6
417,6
418,6
421,6
422,6
423,6
425,6
428,6
432,6
444,6
445,6
450,6
454,6
466,6
473,6
6,7
14,7
32,7
49,7
67,7
74,7
87,7
90,7
93,7
100,7
105,7
107,7
109,7
115,7
137,7
138,7
141,7
142,7
143,7
144,7
147,7
158,7
178,7
179,7
189,7
193,7
194,7
199,7
200,7
201,7
207,7
213,7
215,7
217,7
231,7
240,7
248,7
250,7
265,7
281,7
302,7
304,7
310,7
313,7
314,7
319,7
341,7
346,7
349,7
352,7
354,7
366,7
368,7
372,7
377,7
384,7
389,7
390,7
393,7
399,7
400,7
404,7
405,7
412,7
414,7
415,7
417,7
419,7
420,7
425,7
427,7
428,7
432,7
438,7
451,7
452,7
454,7
458,7
459,7
473,7
6,8
9,8
13,8
14,8
21,8
24,8
27,8
29,8
30,8
37,8
38,8
40,8
48,8
55,8
67,8
75,8
79,8
84,8
93,8
95,8
97,8
98,8
99,8
100,8
105,8
107,8
113,8
115,8
117,8
118,8
127,8
132,8
133,8
135,8
141,8
143,8
147,8
148,8
152,8
158,8
168,8
169,8
174,8
177,8
178,8
179,8
180,8
182,8
187,8
191,8
192,8
193,8
199,8
201,8
213,8
216,8
221,8
225,8
226,8
231,8
248,8
249,8
252,8
263,8
287,8
296,8
299,8
314,8
316,8
319,8
321,8
325,8
326,8
327,8
328,8
330,8
332,8
337,8
339,8
341,8
342,8
343,8
345,8
346,8
349,8
350,8
351,8
352,8
355,8
358,8
363,8
364,8
365,8
366,8
370,8
372,8
377,8
382,8
384,8
388,8
389,8
390,8
393,8
400,8
403,8
404,8
405,8
414,8
440,8
444,8
447,8
448,8
449,8
453,8
454,8
463,8
465,8
466,8
468,8
469,8
470,8
7,9
9,9
21,9
36,9
44,9
47,9
51,9
52,9
55,9
63,9
64,9
67,9
83,9
86,9
95,9
105,9
113,9
127,9
130,9
134,9
135,9
137,9
141,9
143,9
147,9
152,9
166,9
168,9
169,9
170,9
179,9
180,9
185,9
189,9
196,9
198,9
200,9
213,9
225,9
226,9
235,9
248,9
249,9
255,9
274,9
275,9
276,9
278,9
281,9
285,9
289,9
296,9
299,9
313,9
323,9
334,9
8,10
8,11
10,12
146,12
224,12
355,12
358,12
434,12
11,13
14,13
23,13
29,13
31,13
34,13
44,13
46,13
57,13
66,13
75,13
86,13
91,13
93,13
102,13
111,13
116,13
120,13
157,13
158,13
167,13
189,13
200,13
204,13
221,13
254,13
276,13
311,13
315,13
323,13
358,13
372,13
377,13
381,13
384,13
390,13
400,13
406,13
410,13
411,13
414,13
454,13
455,13
466,13
12,14
15,15
44,15
86,15
122,15
188,15
276,15
311,15
315,15
16,16
21,16
28,16
76,16
77,16
80,16
83,16
97,16
100,16
122,16
129,16
134,16
135,16
169,16
172,16
174,16
177,16
178,16
180,16
208,16
210,16
215,16
217,16
229,16
241,16
246,16
249,16
289,16
306,16
313,16
413,16
438,16
439,16
443,16
444,16
473,16
16,17
44,17
51,17
54,17
67,17
73,17
75,17
76,17
82,17
85,17
86,17
90,17
97,17
98,17
105,17
115,17
121,17
125,17
127,17
140,17
143,17
147,17
148,17
155,17
161,17
162,17
163,17
164,17
168,17
172,17
173,17
176,17
180,17
186,17
190,17
191,17
193,17
197,17
199,17
203,17
213,17
214,17
222,17
225,17
226,17
227,17
228,17
233,17
236,17
239,17
241,17
245,17
248,17
249,17
276,17
283,17
284,17
285,17
289,17
306,17
308,17
309,17
313,17
322,17
330,17
340,17
356,17
358,17
361,17
364,17
365,17
370,17
376,17
383,17
386,17
388,17
397,17
399,17
408,17
421,17
423,17
428,17
438,17
439,17
441,17
444,17
450,17
453,17
461,17
473,17
16,18
20,18
49,18
51,18
72,18
73,18
75,18
85,18
86,18
100,18
112,18
117,18
121,18
125,18
126,18
127,18
139,18
142,18
143,18
147,18
148,18
154,18
155,18
161,18
172,18
176,18
186,18
204,18
211,18
214,18
219,18
222,18
225,18
228,18
233,18
234,18
238,18
239,18
251,18
257,18
264,18
271,18
276,18
280,18
282,18
283,18
285,18
294,18
296,18
299,18
301,18
303,18
307,18
312,18
316,18
332,18
350,18
408,18
429,18
432,18
438,18
439,18
441,18
444,18
450,18
451,18
461,18
473,18
18,19
19,20
20,21
22,22
23,22
24,22
406,22
410,22
25,23
46,23
106,23
170,23
202,23
317,23
323,23
452,23
26,24
61,24
108,24
126,24
301,24
318,24
375,24
27,25
30,26
51,26
52,26
53,26
63,26
64,26
66,26
67,26
87,26
103,26
106,26
109,26
115,26
122,26
124,26
137,26
138,26
144,26
164,26
166,26
174,26
179,26
185,26
189,26
200,26
207,26
235,26
243,26
249,26
255,26
289,26
297,26
299,26
334,26
365,26
409,26
413,26
444,26
473,26
31,27
43,27
50,27
94,27
111,27
113,27
188,27
221,27
226,27
324,27
381,27
422,27
466,27
473,27
35,28
37,29
39,29
41,30
44,30
51,30
52,30
136,30
473,30
42,31
438,31
50,32
55,33
56,34
57,34
58,35
59,36
60,36
167,36
173,36
333,36
62,37
70,37
63,38
63,39
65,40
68,41
70,41
80,41
97,41
100,41
109,41
135,41
137,41
138,41
144,41
174,41
179,41
180,41
187,41
195,41
202,41
207,41
208,41
210,41
235,41
240,41
267,41
271,41
280,41
281,41
288,41
294,41
296,41
298,41
299,41
302,41
305,41
309,41
310,41
317,41
319,41
326,41
327,41
330,41
332,41
335,41
339,41
341,41
346,41
349,41
355,41
360,41
363,41
366,41
368,41
370,41
376,41
394,41
396,41
399,41
400,41
404,41
405,41
412,41
415,41
416,41
418,41
420,41
421,41
425,41
427,41
428,41
430,41
432,41
445,41
451,41
452,41
454,41
466,41
473,41
69,42
71,42
146,42
74,43
104,43
105,43
78,44
79,45
91,45
107,45
109,45
128,45
130,45
137,45
144,45
156,45
164,45
166,45
174,45
177,45
179,45
186,45
189,45
194,45
204,45
206,45
207,45
219,45
225,45
235,45
240,45
246,45
280,45
281,45
289,45
345,45
365,45
408,45
473,45
84,46
86,46
122,46
88,47
131,47
193,47
199,47
290,47
291,47
355,47
358,47
433,47
437,47
446,47
89,48
90,48
92,48
93,48
118,48
120,48
121,48
410,48
411,48
90,49
94,50
96,51
101,52
114,52
119,52
131,52
139,52
150,52
153,52
160,52
165,52
166,52
178,52
179,52
182,52
183,52
184,52
185,52
189,52
192,52
193,52
211,52
213,52
216,52
218,52
219,52
221,52
225,52
230,52
231,52
235,52
237,52
246,52
257,52
265,52
274,52
275,52
276,52
283,52
285,52
288,52
296,52
299,52
302,52
305,52
307,52
312,52
313,52
316,52
317,52
324,52
326,52
330,52
335,52
343,52
346,52
351,52
353,52
355,52
358,52
363,52
368,52
374,52
376,52
379,52
393,52
394,52
396,52
399,52
400,52
403,52
405,52
410,52
412,52
414,52
415,52
416,52
418,52
421,52
424,52
428,52
431,52
432,52
433,52
451,52
452,52
461,52
472,52
473,52
102,53
104,54
111,55
112,56
125,56
473,56
116,57
171,57
188,57
243,57
119,58
123,58
132,59
133,60
233,60
418,60
136,61
145,62
149,63
172,63
233,63
246,63
280,63
282,63
283,63
303,63
350,63
473,63
150,64
186,64
228,64
238,64
264,64
298,64
305,64
324,64
375,64
380,64
151,65
175,65
151,66
152,67
155,68
156,69
157,70
159,71
169,71
235,71
240,71
246,71
160,72
161,73
168,73
176,73
460,73
164,74
164,75
175,76
181,77
197,78
291,78
197,79
201,80
203,80
205,81
209,81
205,82
209,82
208,83
210,83
221,83
229,83
235,83
240,83
267,83
280,83
281,83
302,83
304,83
305,83
349,83
473,83
208,84
211,85
212,86
214,87
245,87
216,88
218,88
220,89
223,90
224,91
362,91
369,91
370,91
373,91
385,91
387,91
404,91
455,91
457,91
473,91
230,92
242,93
245,94
247,95
249,96
251,97
358,97
473,97
253,98
254,99
256,100
269,100
273,100
292,100
320,100
329,100
257,101
266,101
277,101
280,101
282,101
284,101
303,101
307,101
318,101
321,101
330,101
335,101
337,101
346,101
350,101
258,102
284,102
295,102
258,103
269,103
295,103
322,103
359,103
259,104
260,105
268,105
279,105
280,105
281,105
286,105
297,105
299,105
305,105
310,105
313,105
314,105
325,105
328,105
337,105
341,105
345,105
349,105
360,105
362,105
369,105
372,105
375,105
377,105
380,105
384,105
400,105
408,105
473,105
261,106
262,107
263,107
266,107
268,107
270,107
277,107
280,107
285,107
287,107
296,107
299,107
301,107
303,107
307,107
310,107
312,107
313,107
314,107
318,107
330,107
335,107
337,107
341,107
343,107
344,107
345,107
346,107
350,107
351,107
362,107
368,107
380,107
384,107
385,107
387,107
264,108
279,108
280,108
282,108
283,108
287,108
305,108
307,108
330,108
341,108
342,108
344,108
346,108
350,108
352,108
354,108
363,108
369,108
370,108
377,108
384,108
388,108
447,108
468,108
469,108
470,108
473,108
266,109
272,110
292,110
340,110
278,111
280,111
281,111
285,111
286,111
302,111
304,111
310,111
321,111
325,111
331,111
337,111
339,111
341,111
346,111
349,111
360,111
362,111
368,111
377,111
473,111
290,112
292,113
293,114
300,115
305,116
308,117
311,118
313,119
320,120
320,121
334,122
336,123
338,124
348,124
347,125
348,126
353,127
355,128
358,128
356,129
357,130
361,131
370,131
398,131
399,131
367,132
370,132
392,132
395,132
397,132
398,132
399,132
371,133
372,134
380,134
372,135
377,135
374,136
374,137
378,138
382,138
379,139
383,140
386,141
387,142
391,143
401,144
402,145
402,146
404,147
406,148
409,148
410,148
406,149
409,149
410,149
411,150
411,151
414,152
416,153
417,154
419,155
419,156
419,157
419,158
424,159
431,159
426,160
428,160
426,161
428,161
429,162
430,163
430,164
431,165
432,166
433,167
446,167
468,167
434,168
435,169
439,169
448,169
456,169
465,169
468,169
473,169
436,170
440,170
437,171
442,171
449,171
459,171
465,171
468,171
469,171
473,171
440,172
447,172
463,172
465,172
470,172
473,172
442,173
449,173
464,173
470,173
473,173
449,174
451,175
453,176
454,176
457,177
457,178
466,178
473,178
459,179
469,179
470,179
473,179
459,180
460,181
460,182
460,183
473,183
460,184
462,185
466,185
462,186
467,187
471,188
472,189
473,190
473,191
473,192
473,193
473,194
473,195
473,196
473,197
